artist,song,genre
Thundercat,Them Changes (feat. Flying Lotus & Kamasi Washington),['afrofuturism']
Falcons,Aquafina (feat. GoldLink & Chaz French),"['antiviral pop', 'melodic power metal', 'otacore']"
How Sad,Hot Blur,need_to_add
Kool & The Gang,Summer Madness,"['disco', 'funk', 'post-disco', 'quiet storm', 'soul']"
James Brown,The Payback,"['funk', 'soul']"
Fool's Gold,I'm In Love,need_to_add
Punkin Machine,I Need You Tonight,['indie soul']
Ify Jerry Crusade,Everybody Likes Something Good,['classic afrobeat']
Gnonnas Pédro,Dadje Von O Von Non,['beninese pop']
D'Angelo,Sugah Daddy,"['alternative r&b', 'funk', 'hip hop', 'indie soul', 'neo soul', 'soul']"
Swishahouse,International Players Anthem,"['chopped and screwed', 'dirty south rap', 'gangster rap', 'houston rap', 'trap']"
ILoveMakonnen,Swerve,"['atl hip hop', 'lgbtq+ hip hop', 'trap', 'underground hip hop']"
Father,Look At Wrist,"['chamber pop', 'indie pop', 'indie rock']"
Tame Impala,Let It Happen,"['australian psych', 'neo-psychedelic']"
Fetty Wap,My Way (feat. Monty),"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Kwabs,Walk,"['gauze pop', 'tropical house']"
The Clash,The Magnificent Seven - Remastered,"['classic rock', 'permanent wave', 'punk', 'rock']"
Tijuana Panthers,NOBO,"['garage pop', 'indie garage rock', 'indie surf']"
Gayngs,The Gaudy Side of Town,"['chillwave', 'eau claire indie']"
Vic Mensa,U Mad,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']"
Neon Indian,Slumlord,"['alternative dance', 'chillwave', 'denton tx indie', 'dream pop', 'experimental pop', 'indie rock', 'indietronica', 'neo-synthpop', 'new rave']"
CHVRCHES,Leave A Trace,"['dance pop', 'electropop', 'indie pop', 'metropopolis', 'neo-synthpop', 'shimmer pop']"
Disclosure,Willing & Able,"['edm', 'house', 'pop', 'uk dance']"
Shy Glizzy,White Girl,"['dmv rap', 'drill', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'vapor trap']"
ILoveMakonnen,Maneuvering,"['atl hip hop', 'lgbtq+ hip hop', 'trap', 'underground hip hop']"
The Ronettes,Be My Baby,"['adult standards', 'brill building pop', 'classic girl group', 'soul']"
The Ronettes,Why Don't They Let Us Fall in Love,"['adult standards', 'brill building pop', 'classic girl group', 'soul']"
The Shirelles,Will You Love Me Tomorrow,"['adult standards', 'brill building pop', 'classic girl group', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']"
The Chiffons,One Fine Day,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic girl group', 'doo-wop', 'merseybeat', 'rhythm and blues', 'rock-and-roll']"
The Chiffons,He's So Fine - 2000 Digital Remaster,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic girl group', 'doo-wop', 'merseybeat', 'rhythm and blues', 'rock-and-roll']"
The Crystals,Then He Kissed Me,"['brill building pop', 'bubblegum pop', 'classic girl group', 'rock-and-roll']"
Lesley Gore,It's My Party,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic girl group']"
The Marvelettes,Please Mr. Postman,"['brill building pop', 'classic girl group', 'classic soul', 'motown', 'quiet storm', 'rhythm and blues', 'rock-and-roll', 'soul', 'southern soul']"
Bomba Estéreo,Fiesta - Remix,"['cumbia', 'latin alternative', 'pop electronico', 'tropical alternativo']"
Lady Leshurr,Queen's Speech 4,"['afroswing', 'birmingham hip hop', 'grime', 'trap queen']"
Jamie xx,I Know There's Gonna Be (Good Times),"['electronica', 'future garage', 'new rave']"
Young Thug,With That (feat. Duke),"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']"
Drake,Hotline Bling,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Fetty Wap,679 (feat. Remy Boyz),"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Fetty Wap,Trap Queen,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Rae Sremmurd,No Type,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Bassnectar,Chasing Heaven,"['bass music', 'breakbeat', 'brostep', 'edm', 'electro house', 'electronic trap', 'glitch hop']"
Bassnectar,Speakerbox (feat. Lafa Taylor),"['bass music', 'breakbeat', 'brostep', 'edm', 'electro house', 'electronic trap', 'glitch hop']"
Rick Ross,Movin' Bass - GTA Remix,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Brown Bird,Danger and Dread,"['indie folk', 'maine indie', 'new americana', 'rhode island indie', 'stomp and holler']"
M83,Midnight City,"['french shoegaze', 'french synthpop', 'indietronica', 'metropopolis', 'neo-synthpop']"
Fela Kuti,Water No Get Enemy - Edit,"['afrobeat', 'afropop', 'world']"
Frank Ocean,Pyramids,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']"
Hercules & Love Affair,Hercules Theme,"['alternative dance', 'art pop', 'electroclash', 'electronica', 'new rave', 'nu disco']"
Kelela,Rewind,"['afrofuturism', 'alternative r&b', 'art pop', 'electropop', 'escape room', 'experimental r&b', 'indie soul', 'pop']"
Big K.R.I.T.,My Sub (Pt. 2: The Jackin') - Album Version (Edited),"['alternative hip hop', 'conscious hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'houston rap', 'mississippi hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
Lil Wayne,Kush,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
Willow,9,"['afrofuturism', 'dance pop', 'electropop', 'pop', 'post-teen pop']"
Disclosure,Magnets,"['edm', 'house', 'pop', 'uk dance']"
Phantogram,Don't Move,"['chillwave', 'electropop', 'indietronica', 'metropopolis', 'modern rock']"
Brazilian Girls,Pussy,"['alternative dance', 'downtempo', 'electronica', 'trip hop']"
The Cool Kids,Black Mags,"['alternative hip hop', 'chicago rap', 'escape room', 'hip hop', 'southern hip hop', 'underground hip hop']"
Three 6 Mafia,Stay Fly - Explicit Album Version,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
Three 6 Mafia,Sippin On Some Syrup,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
Three 6 Mafia,Poppin' My Collar - feat. Project Pat - Explicit,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
Paul Wall,Sittin' Sidewayz - feat. Big Pokey Explicit,"['chopped and screwed', 'crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'houston rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
The Cool Kids,Gold and a Pager,"['alternative hip hop', 'chicago rap', 'escape room', 'hip hop', 'southern hip hop', 'underground hip hop']"
Riskay,Smell Yo D*ck,['hip pop']
Ex Hex,Don't Wanna Lose,"['indie punk', 'modern power pop', 'riot grrrl']"
Baio,Endless Rhythm,['nyc pop']
Shamir,Demon,"['art pop', 'escape room']"
Deerhunter,Nothing Ever Happened,"['alternative dance', 'alternative rock', 'art pop', 'atlanta indie', 'chillwave', 'dream pop', 'experimental rock', 'garage psych', 'indie pop', 'indie rock', 'modern alternative rock', 'modern rock', 'neo-psychedelic', 'new rave', 'noise pop', 'noise rock', 'shoegaze']"
Run The Jewels,Oh My Darling Don't Meow (Just Blaze Remix),"['alternative hip hop', 'escape room', 'hip hop', 'political hip hop']"
Ibeyi,River,"['cuban alternative', 'etherpop']"
Hermitude,The Buzz (feat. Mataya & Young Tapz),"['australian dance', 'downtempo', 'edm', 'electronic trap', 'escape room']"
Kanye West,All Day,"['chicago rap', 'rap']"
Future,Blood On the Money,"['atl hip hop', 'rap', 'southern hip hop', 'trap']"
Leon Bridges,River,['modern blues']
ILoveMakonnen,Trust Me Danny,"['atl hip hop', 'lgbtq+ hip hop', 'trap', 'underground hip hop']"
Drake,Big Rings,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Neon Indian,Annie,"['alternative dance', 'chillwave', 'denton tx indie', 'dream pop', 'experimental pop', 'indie rock', 'indietronica', 'neo-synthpop', 'new rave']"
Frankey,Acamar,['organic house']
Kendrick Lamar,Alright,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Drake,Know Yourself,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Crystal Castles,Deicide,"['alternative dance', 'bitpop', 'digital hardcore', 'indietronica', 'neo-synthpop', 'new rave', 'nintendocore']"
Leon Bridges,Coming Home,['modern blues']
Hercules & Love Affair,Hercules Theme 2014,"['alternative dance', 'art pop', 'electroclash', 'electronica', 'new rave', 'nu disco']"
Majid Jordan,Forever,"['alternative r&b', 'canadian contemporary r&b', 'pop', 'r&b', 'trap soul']"
Poolside,Next to You,"['alternative dance', 'indie soul', 'nu disco']"
FKA twigs,Papi Pacify,"['afrofuturism', 'art pop', 'dance pop', 'escape room', 'experimental r&b', 'pop', 'trip hop']"
Young & Sick,Magnolia,"['indie poptimism', 'vapor pop', 'vapor soul']"
Feathers,Dark Matter,need_to_add
Donnie Trumpet,Callie (feat. Vic Mensa),"['pop rap', 'pop soul']"
Drake,Wu-Tang Forever,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
David Bowie,Fame (2007 Remastered),"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']"
Wiz Khalifa,We Dem Boyz,"['dance pop', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Autre Ne Veut,Ego Free Sex Free,"['alternative r&b', 'experimental pop']"
Matthew Dear,Her Fantasy,"['alternative dance', 'electronica', 'experimental pop', 'microhouse', 'minimal techno']"
Matthew Dear,Little People (Black City),"['alternative dance', 'electronica', 'experimental pop', 'microhouse', 'minimal techno']"
Disclosure,Confess To Me,"['edm', 'house', 'pop', 'uk dance']"
Cut Copy,Let Me Show You Love,"['alternative dance', 'australian dance', 'australian electropop', 'chillwave', 'dance-punk', 'electronic rock', 'electronica', 'electropop', 'filter house', 'indie rock', 'indietronica', 'modern rock', 'neo-synthpop', 'new rave', 'nu disco']"
Kanye West,New Slaves,"['chicago rap', 'rap']"
Chromeo,Sexy Socialite,"['alternative dance', 'dance rock', 'electropop', 'filter house', 'new rave']"
Holy Ghost!,Okay,"['alternative dance', 'chillwave', 'electronica', 'filter house', 'indietronica', 'neo-synthpop', 'new rave', 'nu disco']"
Mikal Cronin,Weight,"['garage pop', 'modern power pop']"
Disclosure,When A Fire Starts To Burn,"['edm', 'house', 'pop', 'uk dance']"
Disclosure,When A Fire Starts To Burn - Midland Remix,"['edm', 'house', 'pop', 'uk dance']"
Arctic Monkeys,Fake Tales Of San Francisco,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
Warpaint,Billie Holiday,"['alternative dance', 'art pop', 'chamber psych', 'chillwave', 'dream pop', 'electronica', 'indie rock', 'la indie', 'modern alternative rock', 'modern dream pop', 'modern rock', 'new rave']"
Duck Sauce,Goody Two Shoes,"['disco house', 'edm', 'electro house', 'filter house', 'house', 'vocal house']"
HAIM,The Wire,"['art pop', 'indie pop', 'metropopolis']"
Tycho,Awake,"['chillwave', 'downtempo', 'electronica', 'indietronica', 'intelligent dance music']"
Jagwar Ma,Man I Need,['australian indie']
Big Freedia,N.O. Bounce,"['bounce', 'escape room', 'lgbtq+ hip hop', 'new orleans rap', 'trap queen']"
CHVRCHES,Now Is Not The Time,"['dance pop', 'electropop', 'indie pop', 'metropopolis', 'neo-synthpop', 'shimmer pop']"
Lykke Li,No Rest For The Wicked,"['art pop', 'electropop', 'pop', 'swedish electropop', 'swedish indie pop', 'swedish pop']"
Flume,Holdin On,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm']"
The Districts,Rocking Chair,['lancaster pa indie']
Gold Panda,Marriage,"['chillwave', 'electronica', 'future garage', 'indietronica', 'microhouse', 'uk bass', 'wonky']"
Phosphorescent,Ride On / Right On,"['alternative americana', 'chamber pop', 'indie folk', 'indie pop', 'indie rock', 'new americana', 'stomp and holler', 'swedish americana']"
Atmosphere,GodLovesUgly,"['alternative hip hop', 'conscious hip hop', 'minnesota hip hop', 'pop rap']"
Christopher Owens,New York City,['bay area indie']
Woods,Moving to the Left,"['brooklyn indie', 'chamber pop', 'chamber psych', 'freak folk', 'indie folk', 'indie rock', 'modern folk rock', 'neo-psychedelic', 'stomp and holler']"
The Killers,All These Things That I've Done,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'pop rock', 'rock']"
The Kooks,Junk of the Heart (Happy),"['brighton indie', 'modern rock', 'rock']"
Chromeo,When The Night Falls - feat. Solange Knowles,"['alternative dance', 'dance rock', 'electropop', 'filter house', 'new rave']"
Kanye West,Mercy,"['chicago rap', 'rap']"
Spoon,Don't You Evah,"['alternative rock', 'austindie', 'indie pop', 'indie rock', 'modern rock', 'rock']"
Arcade Fire,We Exist,"['baroque pop', 'canadian indie', 'indie rock', 'modern rock', 'permanent wave', 'quebec indie', 'rock']"
YACHT,Le Goudron (Edit),need_to_add
M.I.A.,Double Bubble Trouble,"['dance pop', 'escape room', 'indietronica', 'new rave']"
Dusky,Careless,"['deep groove house', 'deep house', 'house', 'tech house']"
George McCrae,Look at You,['disco']
ODESZA,How Did I Get Here,"['chillwave', 'ninja']"
Phantogram,Black Out Days,"['chillwave', 'electropop', 'indietronica', 'metropopolis', 'modern rock']"
Joe Cuba,Bang! Bang!,"['boogaloo', 'latin jazz', 'salsa']"
Hot Chocolate,Every 1's A Winner - Single Version,"['classic uk pop', 'disco', 'soft rock']"
Cathedrals,Unbound,['vapor pop']
ASTR,Operate,"['alt z', 'dance pop', 'electropop', 'norwegian pop', 'pop', 'post-teen pop', 'tropical house', 'uk pop']"
Kanye West,Blood On The Leaves,"['chicago rap', 'rap']"
Jagwar Ma,Come Save Me,['australian indie']
Migos,Hannah Montana,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
Cayucas,High School Lover,['la indie']
Shabazz Palaces,They Come in Gold,"['afrofuturism', 'alternative hip hop', 'cascadia psych', 'escape room', 'experimental hip hop', 'psychedelic hip hop', 'seattle hip hop']"
Virgo,Tides of Neptune,need_to_add
ZHU,Cocaine Model,"['edm', 'electro house']"
Future Islands,Light House,"['alternative dance', 'baltimore indie', 'chillwave', 'indie rock', 'modern rock']"
Musical Youth,Pass The Dutchie,['uk reggae']
How To Dress Well,Words I Don't Remember,"['art pop', 'chillwave', 'metropopolis']"
Prince,I Would Die 4 U,"['funk', 'funk rock', 'minneapolis sound', 'synth funk']"
Nightmares On Wax,Bless My Soul,"['bleep techno', 'downtempo', 'electronica', 'nu jazz', 'trip hop', 'turntablism']"
20th Century Steel Band,Heaven And Hell Is On Earth,['rare groove']
Travis Scott,Upper Echelon,"['hip hop', 'rap', 'slap house']"
Cloud One,Flying High (Part 1),"['deep disco', 'disco', 'post-disco']"
Grimes,Go,"['art pop', 'canadian electropop', 'chillwave', 'dance pop', 'grave wave', 'indietronica', 'metropopolis', 'pop']"
Eric Burdon,Spill The Wine,"['blues rock', 'british blues', 'classic rock', 'psychedelic rock']"
Marvin Gaye,Got To Give It Up (Part 1),"['classic soul', 'funk', 'indie r&b', 'motown', 'northern soul', 'quiet storm', 'soul']"
Barry White,Never Gonna Give You Up,"['adult standards', 'disco', 'funk', 'quiet storm', 'soul']"
Rick Ross,Sanctified,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Ty Segall,It #1,"['alternative rock', 'bay area indie', 'blues rock', 'garage rock', 'indie garage rock', 'indie rock', 'modern rock', 'neo-psychedelic', 'noise pop', 'oc indie', 'punk blues']"
Big Data,Dangerous (feat. Joywave),"['metropopolis', 'modern alternative rock', 'modern rock']"
Autre Ne Veut,Counting,"['alternative r&b', 'experimental pop']"
Wet,You're the Best,"['alternative r&b', 'art pop', 'brooklyn indie', 'electropop', 'indie electropop', 'indie pop', 'indie poptimism', 'indie soul', 'nyc pop', 'vapor soul']"
Marcos Valle,Estrelar,"['bossa nova', 'brazilian boogie', 'mpb']"
ASTR,Hold On We're Going Home,"['alt z', 'dance pop', 'electropop', 'norwegian pop', 'pop', 'post-teen pop', 'tropical house', 'uk pop']"
Blood Orange,Uncle ACE,"['alternative r&b', 'art pop', 'chillwave', 'electropop', 'escape room', 'indie soul', 'metropopolis']"
Foxygen,San Francisco,"['baroque pop', 'experimental pop', 'indie garage rock', 'indie rock', 'neo-psychedelic']"
Tove Lo,Stay High - Habits Remix,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'swedish electropop', 'swedish pop', 'swedish synthpop', 'uk pop']"
Jimi Hendrix,Crosstown Traffic,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'hard rock', 'proto-metal', 'psychedelic rock', 'rock']"
Open Mike Eagle,Ziggy Starfish (Anxiety Raps) [feat. Gold Panda],"['abstract hip hop', 'alternative hip hop', 'escape room']"
Chrome Sparks,Marijuana,"['chillwave', 'shimmer psych', 'vapor soul', 'vapor twitch']"
Azizi Gibson,Crown Violet - Bonus Track,"['dark trap', 'underground hip hop']"
D. Gookin,Glad I Met You,need_to_add
Blu,Dancing In The Rain,"['cali rap', 'trap']"
Amy Winehouse,You Know I'm No Good - Ghostface UK Version,"['british soul', 'indie r&b', 'neo soul']"
Grimes,Kill V. Maim,"['art pop', 'canadian electropop', 'chillwave', 'dance pop', 'grave wave', 'indietronica', 'metropopolis', 'pop']"
James Blake,Life Round Here,"['alternative r&b', 'indie soul', 'uk alternative pop']"
Ty Dolla $ign,Sitting Pretty (feat. Wiz Khalifa),"['hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']"
Dâm-Funk,"Glyde 2nyte (feat. Leon Sylvers III, Leon Sylvers IV)","['popping', 'synth funk', 'wonky']"
James Pants,Clouds Over the Pacific,"['one-person band', 'wonky']"
Madlib,Distant Land,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'psychedelic hip hop']"
Parliament,Flashlight,"['afrofuturism', 'funk', 'funk rock', 'p funk', 'soul']"
Funkadelic,Can You Get To That,"['funk', 'funk rock', 'p funk', 'psychedelic rock', 'psychedelic soul', 'soul']"
Banks,Better,"['alternative r&b', 'art pop', 'electropop', 'indie poptimism', 'pop', 'uk pop']"
Pretty Sister,Pony,['la pop']
Missy Elliott,WTF (Where They From) [feat. Pharrell Williams],"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'rap', 'urban contemporary', 'virginia hip hop']"
Fetty Wap,Again,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
