artist,song,ids,genre,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,mode,valence
Queen,Don't Stop Me Now - Remastered 2011,5T8EDUDqKcs6OSOwEsfqG7,Rock,0.0475,0.559,209413,0.868,0.000176,5,0.776,-5.276,0.17,156.295,1,0.609
The Kooks,She Moves In Her Own Way,5xoUgPXbMNUmoHU0Enwtwq,Rock,0.239,0.41,169307,0.803,0,7,0.103,-5.363,0.0623,153.315,1,0.814
George Ezra,Anyone For You (Tiger Lily),5iFQfP3AqVnHHS89LKQisL,Rock,0.293,0.662,187682,0.807,3.55E-06,10,0.189,-3.285,0.0411,103.031,1,0.772
Nirvana,Smells Like Teen Spirit,4CeeEOM32jQcH3eN9Q2dGj,Rock,2.55E-05,0.502,301920,0.912,0.000173,1,0.106,-4.556,0.0564,116.761,1,0.72
WALK THE MOON,Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA,Rock,0.00701,0.578,199080,0.866,0,1,0.257,-3.804,0.0619,128.038,1,0.619
Fleetwood Mac,The Chain - 2004 Remaster,5e9TFTbltYBg2xThimr0rU,Rock,0.009,0.545,270213,0.67,0.000822,9,0.0451,-8.81,0.0496,151.553,1,0.481
Elton John,I'm Still Standing,1jDJFeK9x3OZboIAHsY9k2,Rock,0.356,0.504,183440,0.904,0.121,6,0.14,-6.863,0.179,176.808,1,0.772
Arctic Monkeys,Fluorescent Adolescent,2x8evxqUlF0eRabbW2JBJd,Rock,0.00146,0.654,183893,0.828,0.000144,1,0.122,-5.377,0.0281,112.056,0,0.79
Fleetwood Mac,Everywhere - 2017 Remaster,254bXAqt3zP6P50BdQvEsq,Rock,0.258,0.73,226653,0.487,0.01,4,0.0852,-10.991,0.0303,114.965,1,0.731
Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,1r9xUipOqoNwggBpENDsvJ,Rock,0.237,0.728,173381,0.783,0,11,0.434,-4.424,0.266,77.011,0,0.555
The White Stripes,Seven Nation Army,3dPQuX8Gs42Y7b454ybpMR,Rock,0.0039,0.743,232107,0.446,0.118,4,0.337,-7.807,0.0683,123.596,0,0.278
TOTO,Africa,2374M0fQpWi3dLnB54qaLX,Rock,0.257,0.671,295893,0.373,8.01E-05,9,0.0481,-18.064,0.0323,92.718,1,0.732
The Fratellis,Chelsea Dagger,1bCmvezFg5MRcENzCGG1Cy,Rock,0.0491,0.511,215307,0.815,0,7,0.0826,-3.14,0.144,154.514,1,0.586
Bryan Adams,Summer Of '69,0GONea6G2XdnHWjNZd6zt3,Rock,0.0183,0.508,216053,0.834,0,2,0.0732,-6.205,0.0386,139.131,1,0.774
Imagine Dragons,Believer,0pqnGHJpmpxLKifKRmU6WP,Rock,0.0622,0.776,204347,0.78,0,10,0.081,-4.374,0.128,124.949,0,0.666
The Neighbourhood,Softcore,2K7xn816oNHJZ0aVqdQsha,Rock,0.0484,0.575,206280,0.568,0.000417,9,0.286,-5.509,0.03,93.986,0,0.37
Two Door Cinema Club,What You Know,4JHg4nNYUJQ5HULcCmI18R,Rock,0.000675,0.549,189693,0.754,6.24E-06,6,0.0912,-4.011,0.0407,139.052,0,0.828
Arctic Monkeys,I Bet You Look Good On The Dancefloor,3DQVgcqaP3iSMbaKsd57l5,Rock,0.00225,0.535,173680,0.948,0,6,0.376,-4.19,0.0356,103.183,0,0.778
OneRepublic,Counting Stars,2tpWsVSb9UEmDRxAl1zhX1,Rock,0.0654,0.664,257267,0.705,0,1,0.118,-4.972,0.0382,122.016,0,0.477
Arctic Monkeys,When The Sun Goes Down,2zzLRQ78kKfPTx8FJQCdC2,Rock,0.0341,0.348,202133,0.875,0,11,0.117,-4.758,0.199,169.152,0,0.407
The Beatles,Here Comes The Sun - Remastered 2009,6dGnYIeXmHdcikdzNNDMm2,Rock,0.0339,0.557,185733,0.54,0.00248,9,0.179,-10.484,0.0347,129.171,1,0.394
Tears For Fears,Everybody Wants To Rule The World,4RvWPyQ5RL0ao9LPZeSouE,Rock,0.347,0.645,251489,0.795,0.00389,7,0.104,-12.095,0.0527,112.067,1,0.535
Fleetwood Mac,Go Your Own Way - 2004 Remaster,07GvNcU1WdyZJq3XxP0kZa,Rock,0.0185,0.583,223613,0.947,0.00109,5,0.0679,-5.12,0.0378,135.448,1,0.803
Queen,Bohemian Rhapsody - Remastered 2011,4u7EnebtmKWzUH433cf5Qv,Rock,0.271,0.414,354320,0.404,0,0,0.3,-9.928,0.0499,71.105,0,0.224
Kings of Leon,Use Somebody,2TYC9SaRhYypUQzB1ZVTG2,Rock,0.00552,0.276,230760,0.715,0.000417,0,0.201,-5.356,0.0432,137.028,1,0.173
George Ezra,Shotgun,4ofwffwvvnbSkrMSCKQDaC,Rock,0.286,0.673,201287,0.735,0,5,0.242,-4.733,0.0457,115.744,1,0.754
Eagles,Hotel California - 2013 Remaster,40riOy7x9W7GXjyGp4pjAv,Rock,0.00574,0.579,391376,0.508,0.000494,2,0.0575,-9.484,0.027,147.125,1,0.609
Van Morrison,Brown Eyed Girl,3yrSvpt2l1xhsV9Em88Pul,Rock,0.185,0.491,183307,0.583,0,7,0.406,-10.964,0.0376,150.566,1,0.908
Snow Patrol,Chasing Cars,5GuZz08qie5efPtqsQFsdT,Rock,0.208,0.559,265507,0.603,3.71E-05,9,0.105,-4.594,0.0275,104.005,1,0.104
Toploader,Dancing in the Moonlight,3Fzlg5r1IjhLk2qRw667od,Rock,0.0624,0.632,232693,0.856,0,10,0.347,-3.463,0.0348,119.397,1,0.867
Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",3gdewACMIVMEWVbyb8O9sY,Rock,0.432,0.601,281613,0.532,6.25E-06,10,0.0925,-9.119,0.0286,136.571,1,0.341
Red Hot Chili Peppers,Can't Stop,3ZOEytgrvLwQaqXreDs2Jx,Rock,0.0179,0.618,269000,0.938,0,9,0.167,-3.442,0.0456,91.455,1,0.875
Tion Wayne,IFTK,7u3w4fQhulC1etJbdfmv3Q,Rap,0.0781,0.614,190685,0.82,8.18E-05,6,0.618,-4.32,0.226,146.235,0,0.739
Jack Harlow,First Class,1rDQ4oMwGJI7B4tovsBOxc,Rap,0.0254,0.905,173948,0.563,9.71E-06,8,0.113,-6.135,0.102,106.998,1,0.324
Drake,Jimmy Cooks (feat. 21 Savage),3F5CgOj3wFlRv51JsHbxhe,Rap,0.000307,0.529,218365,0.673,2.41E-06,0,0.093,-4.711,0.175,165.921,1,0.366
Future,WAIT FOR U (feat. Drake & Tems),59nOXPmaKlBfGMDeOVGrIK,Rap,0.314,0.463,189893,0.642,0,1,0.0686,-4.474,0.34,83.389,1,0.339
Drake,Massive,28JBD8p18xNuOfyV7Cotdn,Rap,0.114,0.499,336924,0.671,0.0169,4,0.148,-6.774,0.0561,124.994,0,0.0557
Drake,Sticky,4rmVZajAF7PkrCagGPHbqa,Rap,0.0917,0.853,243228,0.495,0.000217,6,0.0844,-14.63,0.14,137.027,1,0.0774
Drake,Falling Back,1vbn9fEyw1IYhqgZJdu9ZB,Rap,0.238,0.718,266179,0.758,0.00653,10,0.11,-8.29,0.0703,118.989,1,0.349
Drake,Texts Go Green,4FIgHqXd4KkOwxrGeLDYM2,Rap,0.000916,0.765,308820,0.627,0.195,0,0.0847,-4.607,0.0622,118.997,1,0.536
Post Malone,I Like You (A Happier Song) (with Doja Cat),0O6u0VJ46W86TxN9wgyqDj,Rap,0.121,0.733,192841,0.67,0,5,0.121,-6.009,0.0751,100.964,1,0.472
Drake,Calling My Name,7sT7kZEYd1MrmzLLIRVZas,Rap,0.62,0.826,129965,0.276,8.53E-05,11,0.118,-11.227,0.266,123.985,0,0.484
David Guetta,Crazy What Love Can Do,1WCEAGGRD066z2Q89ObXTq,Rap,0.0282,0.601,169756,0.713,0,4,0.158,-3.758,0.0449,122.872,0,0.464
Drake,A Keeper,0nAZGkBGKQCXyaoSJfRhC1,Rap,0.512,0.6,173097,0.482,0.000104,1,0.115,-11.596,0.0701,121.909,1,0.323
Jax Jones,Where Did You Go? (feat. MNEK),3sa06xVNmLLYIxdNNmVQN8,Rap,0.182,0.763,177689,0.782,7.08E-06,7,0.293,-4.541,0.0346,127.034,0,0.502
Drake,Currents,1eCFz60zd7mAXgWLapPd9B,Rap,0.104,0.883,157390,0.283,0.00167,0,0.0935,-12.653,0.113,122.013,1,0.416
Drake,Overdrive,7hRlTK3mgFTBEjX7DjqBsI,Rap,0.444,0.502,202451,0.645,0.00964,2,0.107,-10.611,0.122,109.739,0,0.518
Drake,Tie That Binds,1XsRwo2it6QHdV2OiT6IzF,Rap,0.0176,0.775,336005,0.688,0.0917,4,0.108,-10.912,0.0593,120.017,0,0.284
Drake,Liability,2vy9Ry1TNjCD85TiCbTz0r,Rap,0.268,0.557,237933,0.706,0,0,0.132,-6.592,0.0649,105.013,1,0.582
Calvin Harris,Potion (with Dua Lipa & Young Thug),7fYRg3CEbk6rNCuzNzMT06,Rap,0.158,0.824,214460,0.697,4.11E-05,11,0.077,-4.869,0.0473,99.988,0,0.757
Drake,Massive,0oiv4E896TUTTeQU0cmIui,Rap,0.114,0.499,336924,0.671,0.0169,4,0.148,-6.774,0.0561,124.994,0,0.0557
Drake,Texts Go Green,7a5fliY9SsZENrQWQBZron,Rap,0.000916,0.765,308820,0.627,0.195,0,0.0847,-4.607,0.0622,118.997,1,0.536
Drake,Sticky,0C6ShwHWvn4JyvcJc1LjbS,Rap,0.13,0.854,243228,0.492,0.00167,10,0.0846,-14.779,0.131,137.029,0,0.0735
Drake,Falling Back,5zyZM1EiSqrniyqtprwxpv,Rap,0.238,0.718,266179,0.758,0.00653,10,0.11,-8.29,0.0703,118.989,1,0.349
Drake,Jimmy Cooks (feat. 21 Savage),5LYsEBLHY4PwmK1MRic1mr,Rap,0.00028,0.551,218365,0.664,5.47E-06,0,0.093,-4.75,0.184,156.026,1,0.415
Post Malone,Cooped Up (with Roddy Ricch),7DwcBgdzqhFJltEaV1XF81,Rap,0.038,0.669,185857,0.773,0,0,0.113,-5.619,0.153,93.923,1,0.377
Drake,Down Hill,3N3d4OWbPVxTQVBFqNyykk,Rap,0.965,0.718,250865,0.319,0.00036,3,0.0895,-11.261,0.0435,109.994,1,0.639
Drake,A Keeper,5frM7XSby6Pj2Chs9gaKxj,Rap,0.507,0.606,173097,0.482,0.000111,6,0.115,-11.655,0.0737,121.918,1,0.34
Drake,Currents,7IaeavdRzXYQWfu2Wt5GlU,Rap,0.104,0.883,157390,0.283,0.00167,0,0.0935,-12.653,0.113,122.013,1,0.416
Drake,Calling My Name,1L3sTUdIBSNn0vjVgM6ZRp,Rap,0.684,0.848,129965,0.259,0.000201,5,0.116,-11.241,0.246,123.928,0,0.429
Drake,Overdrive,1MJHXJ8bdoynpEtCLCbkWf,Rap,0.444,0.502,202451,0.645,0.00964,2,0.107,-10.611,0.122,109.739,0,0.518
Drake,Tie That Binds,5KW4KhJIAbVVSH6pJ4GPkb,Rap,0.0176,0.775,336005,0.688,0.0917,4,0.108,-10.912,0.0593,120.017,0,0.284
Drake,Liability,3AIhQTy1mehlOWJsurJ7PB,Rap,0.229,0.533,237933,0.706,0,0,0.132,-6.614,0.0673,104.982,1,0.58
Drake,One Dance,1zi7xx7UVEFkmKfv06H8x0,Rap,0.00776,0.792,173987,0.625,0.0018,1,0.329,-5.609,0.0536,103.967,1,0.37
Kanye West,True Love,06JvOZ39sK8D8SqiqfaxDU,Rap,0.0182,0.712,148571,0.861,6.09E-06,5,0.511,-5.487,0.25,84.042,0,0.388
Drake,Down Hill,0PKpNkxX3FkcfgxCQUXXds,Rap,0.965,0.718,250865,0.319,0.00036,3,0.0895,-11.261,0.0435,109.994,1,0.639
Kanye West,Bound 2,3sNVsP50132BTNlImLx70i,Rap,0.145,0.367,229147,0.665,0,1,0.113,-2.821,0.0465,148.913,1,0.31
Calvin Harris,One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Rap,0.037,0.791,214847,0.862,2.19E-05,9,0.0814,-3.24,0.11,123.994,0,0.592
J. Cole,No Role Modelz,68Dni7IE4VyPkTOH9mRWHr,Rap,0.324,0.69,292799,0.521,0,10,0.0534,-8.492,0.339,100.028,0,0.494
Lil Tjay,In My Head,1HvTxgCj0mTzQlEo0zLvFb,Rap,0.159,0.684,135264,0.545,0,1,0.102,-6.885,0.121,143.049,1,0.407
50 Cent,In Da Club,7iL6o9tox1zgHpKUfh9vuC,Rap,0.255,0.899,193467,0.713,0,6,0.0708,-2.752,0.366,90.051,0,0.777
Jack Harlow,Churchill Downs (feat. Drake),3EMp20j5E42MxfFbsEsIvD,Rap,0.615,0.71,309327,0.522,0,11,0.11,-9.102,0.36,96.448,1,0.37
Eminem,The Real Slim Shady,3yfqSUWxFvZELEM4PmlwIR,Rap,0.0302,0.949,284200,0.661,0,5,0.0454,-4.244,0.0572,104.504,0,0.76
XXXTENTACION,Revenge,5TXDeTFVRVY7Cvt0Dw4vWW,Rap,0.782,0.746,120027,0.251,0.00203,11,0.106,-16.169,0.259,139.999,0,0.18
Eminem,Without Me,7lQ8MOhq6IN2w8EYcFNSUk,Rap,0.00286,0.908,290320,0.669,0,7,0.237,-2.827,0.0738,112.238,1,0.662
Coolio,Gangsta's Paradise,1DIXPcTDzTj8ZMHt3PDt8p,Rap,0.0655,0.647,240693,0.514,0,8,0.398,-10.05,0.0593,79.975,1,0.386
Dr. Dre,Still D.R.E.,503OTo2dSqe7qk76rgsbep,Rap,0.16,0.816,270587,0.775,0.00031,11,0.0543,-3.323,0.234,93.431,1,0.527
Drake,Fair Trade (with Travis Scott),40iJIUlhi6renaREYGeIDS,Rap,0.0503,0.666,291175,0.465,0,1,0.215,-8.545,0.26,167.937,1,0.292
Sleepy Hallow,Die Young (feat. 347aidan),6EbVuwU7EnKeF2hdpViXCH,Rap,0.827,0.808,148817,0.582,0,11,0.111,-6.26,0.338,77.471,1,0.675
Kanye West,All Falls Down,5SkRLpaGtvYPhw02vZhQQ9,Rap,0.149,0.657,223507,0.734,0,8,0.139,-4.832,0.484,91.03,0,0.434
Tyga,Freaky Deaky,3vySEUpD0tc801F2WZDLYw,Rap,0.019,0.799,215281,0.653,0,2,0.0935,-5.453,0.037,104.019,0,0.236
Drake,Passionfruit,5mCPDVBb16L4XQwDdbRUpz,Rap,0.256,0.809,298941,0.463,0.085,11,0.109,-11.377,0.0396,111.98,1,0.364
Dolly Parton,9 to 5,4w3tQBXhn5345eUXDGBWZG,Country,0.416,0.554,162467,0.783,1.54E-06,6,0.631,-5.852,0.0457,105.39,1,0.813
Carrie Underwood,Before He Cheats,0ZUo4YjG4saFnEJhdWp9Bt,Country,0.271,0.519,199947,0.749,0,6,0.119,-3.318,0.0405,147.905,0,0.29
Shania Twain,Man! I Feel Like A Woman!,6sxptembJVty4sNtcPMAVz,Country,0.581,0.657,234493,0.639,0,10,0.278,-7.527,0.0412,124.882,1,0.674
Dolly Parton,Islands In the Stream,6dnco8haegnJYtylV26cBq,Country,0.675,0.617,251960,0.411,1.04E-06,8,0.0886,-12.075,0.0373,203.934,1,0.738
Eagles,Hotel California - 2013 Remaster,40riOy7x9W7GXjyGp4pjAv,Country,0.00574,0.579,391376,0.508,0.000494,2,0.0575,-9.484,0.027,147.125,1,0.609
Lynyrd Skynyrd,Sweet Home Alabama,7e89621JPkKaeDSTQ3avtg,Country,0.181,0.596,283800,0.605,0.000331,7,0.0863,-12.145,0.0255,97.798,1,0.886
Rascal Flatts,Life is a Highway,2Fs18NaCDuluPG1DHGw1XG,Country,0.00324,0.582,276320,0.952,0,5,0.223,-3.848,0.0731,103.027,1,0.655
Creedence Clearwater Revival,Fortunate Son,4BP3uh0hFLFRb5cjsgLqDh,Country,0.201,0.64,140773,0.663,0.00806,0,0.152,-7.516,0.0374,132.77,1,0.663
Kenny Rogers,The Gambler,5KqldkCunQ2rWxruMEtGh0,Country,0.342,0.671,214880,0.501,0,4,0.194,-13.119,0.0594,87.04,1,0.86
Chris Stapleton,Tennessee Whiskey,3fqwjXwUGN6vbzIwvyFMhx,Country,0.205,0.392,293293,0.37,0.0096,9,0.0821,-10.888,0.0298,48.718,1,0.512
Lady A,Need You Now,7GAaTpSoTWUTbP2Yxlt4Hd,Country,0.0298,0.581,236440,0.717,0.000186,4,0.243,-4.433,0.0318,107.884,1,0.316
Shania Twain,You're Still The One,1wb4P4F0sxAQ2KXrRvsx6n,Country,0.363,0.585,212200,0.494,0,3,0.0886,-8.751,0.0353,133.822,1,0.634
Dolly Parton,Jolene,2SpEHTbUuebeLkgs9QB7Ue,Country,0.566,0.674,161533,0.537,0,1,0.131,-10.971,0.0363,110.578,0,0.809
Shania Twain,That Don't Impress Me Much,4I7DV3MIgxJGlObiy9s6nx,Country,0.14,0.743,238707,0.873,0,10,0.142,-4.943,0.0507,125.005,0,0.965
Creedence Clearwater Revival,Bad Moon Rising,20OFwXhEXf12DzwXmaV7fj,Country,0.0586,0.508,141600,0.774,4.87E-06,2,0.063,-5.973,0.0321,178.946,1,0.942
Don Henley,The Boys Of Summer,4gvea7UlDkAvsJBPZAd4oB,Country,0.501,0.516,288733,0.549,0.00572,6,0.184,-13.741,0.0373,176.941,1,0.907
Boston,More Than a Feeling,1QEEqeFIZktqIpPI4jSVSF,Country,0.00088,0.377,285133,0.681,0.0023,7,0.0504,-8.039,0.0298,108.789,1,0.285
Creedence Clearwater Revival,Have You Ever Seen The Rain,2LawezPeJhN4AWuSB0GtAU,Country,0.0664,0.741,160133,0.697,2.28E-05,0,0.133,-7.028,0.0277,116.109,1,0.774
Luke Combs,Forever After All,6IBcOGPsniK3Pso1wHIhew,Country,0.191,0.487,232533,0.65,0,0,0.0933,-5.195,0.0253,151.964,1,0.456
Johnny Cash,Hurt,28cnXtME493VX9NOw9cIUh,Country,0.649,0.534,216533,0.392,0.000227,9,0.0948,-7.636,0.0267,90.379,0,0.163
Darius Rucker,Wagon Wheel,3xdjjKMcMOFgo1eQrfbogM,Country,0.455,0.537,298373,0.66,0,9,0.135,-7.174,0.0296,148.096,1,0.574
Luke Combs,When It Rains It Pours,1mMLMZYXkMueg65jRRWG1l,Country,0.013,0.551,240760,0.801,6.03E-06,6,0.265,-5.069,0.0303,128.027,1,0.625
Eagles,Take It Easy - 2013 Remaster,4yugZvBYaoREkJKtbG08Qr,Country,0.343,0.575,211578,0.67,4.95E-06,7,0.129,-10.39,0.0318,139.191,1,0.74
Rascal Flatts,Life is a Highway,5gB2IrxOCX2j9bMnHKP38i,Country,0.00211,0.562,275640,0.934,0,5,0.199,-5.562,0.0607,103.042,1,0.558
Luke Combs,The Kind of Love We Make,28n8z9IQKyjMPxmvYMBqZa,Country,0.0226,0.608,224427,0.745,6.47E-06,1,0.0942,-4.13,0.0277,102.025,1,0.464
Luke Combs,Beautiful Crazy,2rxQMGVafnNaRaXlRMWPde,Country,0.676,0.551,193200,0.402,0,11,0.0928,-7.431,0.0262,103.313,1,0.382
Uncle Kracker,Follow Me,4KoecuyOpZaNFZ0UqVsllc,Country,0.439,0.817,218440,0.585,0,5,0.147,-4.688,0.0301,105.014,1,0.916
The Bellamy Brothers,Let Your Love Flow,064SVQsmWl5EF0zahmzkQk,Country,0.0611,0.679,198760,0.553,7.16E-06,3,0.139,-14.687,0.0316,109.071,1,0.946
The Monkees,I'm a Believer - 2006 Remaster,3G7tRC24Uh09Hmp1KZ7LQ2,Country,0.707,0.526,167373,0.775,2.05E-05,0,0.217,-6.05,0.0352,80.106,1,0.962
Walker Hayes,Fancy Like,58UKC45GPNTflCN6nwCUeF,Country,0.111,0.647,161853,0.765,0,1,0.315,-6.459,0.06,79.994,1,0.855
Dolly Parton,Jolene,5fdhThPDe6jQQDqCyWrdAn,Country,0.566,0.674,161533,0.537,0,1,0.131,-10.971,0.0363,110.578,0,0.809
Derek & The Dominos,Layla,2kkvB3RNRzwjFdGhaUA0tz,Country,0.577,0.404,423840,0.902,0.297,1,0.287,-3.88,0.0665,115.669,1,0.497
Carly Simon,You're so Vain,2DnJjbjNTV9Nd5NOa1KGba,Country,0.157,0.659,258411,0.678,6.69E-06,0,0.0784,-8.18,0.0313,106.186,1,0.647
John Denver,"Take Me Home, Country Roads",1QbOvACeYanja5pbnJbAmk,Country,0.546,0.38,197813,0.43,1.71E-05,9,0.188,-12.564,0.0288,82.204,1,0.547
The Monkees,Daydream Believer,7uEcCGtM1FBBGIhPozhJjv,Country,0.256,0.51,179613,0.488,0,7,0.11,-10.304,0.0304,125.683,1,0.649
Buffalo Springfield,For What It's Worth,1qRA5BS78u3gME0loMl9AA,Country,0.406,0.653,153693,0.519,0.0209,2,0.101,-10.164,0.0497,98.883,1,0.822
Luke Combs,Doin' This,4GyD3o5hWoyCuYpdlzZlRL,Country,0.18,0.593,254181,0.552,1.71E-05,1,0.11,-5.838,0.028,115,1,0.39
Lynyrd Skynyrd,Free Bird,5EWPGh7jbTNO2wakv8LjUI,Country,0.0738,0.249,547107,0.834,9.48E-05,0,0.0924,-8.21,0.0577,118.223,1,0.338
Zac Brown Band,Chicken Fried,0LQtEJt7x0s6knb6RKdRYc,Country,0.645,0.566,238147,0.713,0,6,0.114,-4.25,0.0418,169.861,1,0.805
Dan + Shay,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,Country,0.153,0.654,167693,0.63,0,10,0.111,-4.644,0.0259,89.991,1,0.43
LeAnn Rimes,Can't Fight The Moonlight,2AogRMqARWyUP7VQ3gmSoY,Country,0.403,0.628,215507,0.834,0,6,0.051,-6.341,0.0497,97.865,0,0.626
Dolly Parton,Here You Come Again,6H7nDglS6xWpRidbhMwI2L,Country,0.647,0.585,179491,0.511,0.007,1,0.0392,-9.37,0.0391,105.898,1,0.552
Johnny Cash,Ring of Fire,6YffUZJ2R06kyxyK6onezL,Country,0.623,0.659,158427,0.585,0.000213,7,0.348,-8.189,0.0288,104.111,1,0.784
Gabby Barrett,I Hope,23T0OX7QOiIUFShSzbJ5Uo,Country,0.0951,0.466,210773,0.536,0,6,0.114,-6.227,0.0429,75.998,1,0.377
America,A Horse with No Name,54eZmuggBFJbV7k248bTTt,Country,0.686,0.654,252240,0.506,0.0155,11,0.155,-17.18,0.0535,123.179,0,0.831
The Band Perry,If I Die Young,4aY0tZIaboefmkBEsjAovI,Country,0.348,0.606,222773,0.497,0,4,0.275,-6.611,0.0277,130.739,1,0.362
Free,All Right Now,1gcESexgftSuLuML57Y69q,Country,0.221,0.787,330643,0.472,0.000336,2,0.153,-12.824,0.0832,120.059,1,0.824
Jordan Davis,Buy Dirt,69AIpwGNLxr4qS1X5ynx60,Country,0.639,0.586,167480,0.559,0,4,0.0872,-6.725,0.05,177.945,1,0.437
Luke Combs,Beer Never Broke My Heart,7aEtlGHoiPAfRB084NiDmx,Country,0.0139,0.538,186733,0.863,0,1,0.0874,-4.483,0.0481,77.001,1,0.637
Morgan Wade,Wilder Days,0uh9R0s1I3HIZGiA25QReI,Country,0.00322,0.502,251293,0.662,0.00274,9,0.119,-4.041,0.0293,110.917,1,0.4
Ludovico Einaudi,Experience,1BncfTJAWxrsxyT9culBrj,Classical,0.934,0.447,315427,0.449,0.961,2,0.0697,-10.634,0.0376,92.468,1,0.036
Ludovico Einaudi,Nuvole Bianche,3weNRklVDqb4Rr5MhKBR3D,Classical,0.961,0.191,357707,0.0582,0.89,8,0.0941,-25.398,0.0578,132.614,1,0.0454
Ludovico Einaudi,Divenire - Reimagined by Mercan Dede & Kora,6hX4lTpGKrxvyFy2HKVJT6,Classical,0.722,0.561,438286,0.354,0.907,4,0.0777,-15.459,0.0298,105.004,0,0.214
Ludovico Einaudi,Uno - Reimagined by Mercan Dede,1Ol4x0QfhXo9md7qBmDi5E,Classical,0.708,0.636,396000,0.393,0.851,11,0.0692,-17.822,0.0732,99.988,0,0.0577
Ludovico Einaudi,Divenire feat. Alp Akmaz - Reimagined by Mercan Dede & Kora,7AFQXFCqeQBd1MKENd6FIs,Classical,0.722,0.561,438286,0.354,0.907,4,0.0777,-15.459,0.0298,105.004,0,0.214
Ludovico Einaudi,Uno - Reimagined by Mercan Dede,6y4R6E6rpNpdBAfVRutT4t,Classical,0.708,0.636,396000,0.393,0.851,11,0.0692,-17.822,0.0732,99.988,0,0.0577
Ludovico Einaudi,Time Lapse,6ZAvXjV9YwQvp7o0OHjlPW,Classical,0.959,0.602,327293,0.299,0.833,5,0.0815,-17.161,0.0416,125.016,0,0.177
